// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2013 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//	Código da Estação:00835030
//


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
00835030;1;1933-11-01;1;2,7;3,6;8;4;1;1;0;;0;0;0;0;0;0;0;0;2,7;0;0;0;0,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,2;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00835030;1;1933-12-01;1;6,7;24,2;23;10;1;1;0;;0;0;0;0;0;1,5;0;0;0;0;0;0;3,6;1;0;0,2;0;0;0;0;0;0;0;6,7;3,7;1,6;5,1;0,3;0,5;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00835030;1;1934-01-01;1;6,3;20,4;23;9;1;1;0;;0;0;0;0;0;0;0;0;3,1;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;6,3;0,3;2,9;5,9;0;0,8;0,3;0;0,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00835030;1;1934-02-01;1;18,5;92;19;9;1;1;0;;0;0;0;3,5;0;0;0;0;0;2,1;0;0;0;0;2,1;0;0;0;17,4;18,5;14,2;18;15,8;0,4;0;0;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00835030;1;1934-03-01;1;25,8;154,4;15;17;1;1;0;;0;0;0;22,4;17,6;0;0;0;10,4;22,4;0;14,4;0,3;1,8;6,8;25,8;11,8;2;1,8;0;0;0;0;0;9,4;3,6;1,6;1,8;0;0;0;0,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00835030;1;1934-04-01;1;12,9;23,1;10;8;1;1;0;;0;0;0;3,4;2,1;1,2;0;0,8;0;0;12,9;0;0;0;0;0;0;0;0;0;0;0;1,5;0;0,5;0;0;0;0;0,7;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00835030;1;1934-05-01;1;22,5;147,3;22;17;1;1;0;;0;0;2,6;6,4;13,4;18;19,6;3,1;0;0;0;0;9;16,6;0;0;0;0;0,2;0;0;0,5;22,5;4,8;0;15;4,9;5,9;0;0;0,9;3,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00835030;1;1934-06-01;1;30,7;76,7;10;19;1;1;0;;0;2,5;4;2,2;5,8;0;0,5;0,2;0;0;30,7;15,3;0;0,5;0;0;0;5;0;0;0;2,9;0,3;0,1;0,5;2,4;1,4;0,5;0;0,9;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00835030;1;1934-07-01;1;9;27,9;25;18;1;1;0;;0;0,2;0;0;0;0;0;0,5;0;0;0;0,5;0,5;1;0,8;0;0;0,5;0;0;0,5;1,5;0,2;0,5;1;9;0,2;0;0,4;1;8,9;0,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00835030;1;1934-08-01;1;11,7;33,1;5;12;1;1;0;;0;0,6;1,7;0;0;11,7;0;0;0;0;0;0;1,1;0;0;0;2,2;0;0;8;0,1;1,6;4,3;0;0;0;0;0;0,5;1,1;0,2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00835030;1;1934-09-01;1;5,4;9,4;23;6;1;1;0;;0;0;0;0,2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;5,4;1,4;0;0;0;0,2;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00835030;1;1934-11-01;1;5,2;10,1;2;6;1;1;0;;0;0,7;5,2;0;1,7;0;0,5;0;0;1,5;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00835030;1;1934-12-01;1;9;12,8;15;6;1;1;0;;0;0;1,1;0;0;0;0;0;0;0;0;0;0;0;0,5;9;0;0;0,5;0,2;1,5;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00835030;1;1935-01-01;1;4,4;12,1;1;7;1;1;0;611,4;1;4,4;1,6;0;0;0;0;0;0;0,2;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;1,1;0;4,1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00835030;1;1935-02-01;1;37,6;60;7;9;1;1;0;611,4;1;0;0;0;0;2,9;0;37,6;0;0;0;0;0;0,3;0;2,4;0;0;0,2;0;1,5;1,5;0;0;0,5;13,1;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00835030;1;1935-03-01;1;12;43;15;10;1;1;0;611,4;1;0;0;0;0;4,7;8;0;0;2,2;7,9;0;0;0;0,5;12;2;5;0;0;0;0;0;0;0;0;0;0,2;0,5;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00835030;1;1935-04-01;1;27,5;137,8;12;14;1;1;0;611,4;1;0;20;0;6,2;0;0;0;0;0;0;0,5;27,5;0;0;0,3;3,5;9;23,4;18,4;0;2,5;12;9,9;2,9;1,7;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00835030;1;1935-05-01;1;20,9;45,9;22;14;1;1;0;611,4;1;0;0;0;0,5;1,1;1;0,8;0;0;0;0;0;1,4;0;0;5;9,5;0,7;2,4;0,3;0,3;20,9;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00835030;1;1935-06-01;1;71,3;183,2;21;18;1;1;0;611,4;1;0;18;19,7;0;0;0,8;0;0,2;12,2;0,9;0;0;0;0,8;0;3,6;4,6;0;0;35,2;71,3;0;0;0,5;2;6;3,6;2;1,5;0,3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
