// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2013 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//	Código da Estação:00836009
//


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
00836009;1;1963-01-01;1;24,2;40,4;20;2;1;1;0;977,3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,2;0;0;0;0;0;0;0;0;0;0;16,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00836009;1;1963-02-01;1;18,4;50,8;27;3;1;1;0;977,3;1;0;17,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,2;18,4;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00836009;1;1963-03-01;1;25,4;109,4;11;6;1;1;0;977,3;1;0;0;0;0;0;0;21,2;15,2;8,4;16,8;25,4;0;0;0;0;0;0;22,4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00836009;1;1963-04-01;1;24,4;81,6;25;9;1;1;0;977,3;1;4,2;0;0;0;0;0;0;12,6;3;0;2,4;0;0;0;8,4;0;0;0;0;0;0;0;0;20,6;24,4;0;0;0;2,8;3,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00836009;1;1963-05-01;1;25,4;85;24;9;1;1;0;977,3;1;0;0;0;0;8,2;10,4;0;6,6;0;0;0;4,2;0;0;0;0;0;0;0;0;0;6,2;18,6;25,4;0;0;2;0;0;3,4;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00836009;1;1963-06-01;1;24,4;146,8;26;18;1;1;0;977,3;1;2,4;0;6,4;11,8;8,4;0;0;0;0;6,4;12,2;8,4;15,6;0;0;0;4,4;0;2,4;4,4;0;0;0;4,2;2,2;24,4;3,2;4,4;18,2;7,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00836009;1;1963-07-01;1;32,2;130,7;26;15;1;1;0;977,3;1;6,4;4,2;0;0,2;0;0;5,2;0;3,2;0;0;3,2;0;0,1;2,2;0;0;0;0;0;4,4;0;4,2;25,4;10,2;32,2;25,4;0;0;0;4,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00836009;1;1963-08-01;1;4,4;33,8;4;11;1;1;0;977,3;1;0;0;3,4;4,4;0;0;4,2;0;2,2;0;4,2;0;0;2,2;0;0;3,2;0;2,2;0;2,2;0;0;3,4;2,2;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00836009;1;1963-09-01;1;6,4;22,4;4;6;1;1;0;977,3;1;0;2,2;0;6,4;2,2;0;3,2;4,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,2;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00836009;1;1963-10-01;1;2,2;2,2;3;1;1;1;0;977,3;1;0;0;2,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
