// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2013 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//	Código da Estação:00836024
//


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
00836024;1;1934-02-01;1;48,6;80,7;22;9;1;1;0;;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0,3;0;0;0;0;3;5,8;1;2,1;48,6;2,3;0;0;17;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00836024;1;1934-03-01;1;22,1;114,2;15;18;1;1;0;;0;0;0;4,3;0;16,6;0;0;4,3;12,6;16,2;0;0,5;2,6;10,8;22,1;1;0;0,7;0;0,3;0;0;1;6,7;6,6;6;1,2;0;0;0;0,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00836024;1;1934-04-01;1;17,8;28,5;5;7;1;1;0;;0;0;0;0,6;5,7;17,8;0;0;0;0;1,4;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;0;0;0;1,6;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00836024;1;1934-05-01;1;30;176,3;25;23;1;1;0;;0;3,2;2,2;2,6;2,2;5,7;23;17;0;0;0;2,1;0;1,4;0;8,7;2;1,8;0,9;0;3,9;0;29;14,2;3,2;30;15;5,5;0,6;0;0,1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00836024;1;1934-06-01;1;15,8;43,3;11;17;1;1;0;;0;5,4;2;3,6;0,7;0;0;0;0;0;3,3;15,8;0;0,5;0,3;0;3,4;0;1,1;0;0,4;0;1,2;0,4;0,6;0;3,7;0,3;0,6;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00836024;1;1934-07-01;1;8,5;46,3;6;20;1;1;0;;0;0;0;0;0;2;8,5;0,2;0;2;0;0,3;0;0;1;3;0;2;1,3;0,4;1;2,7;0,3;0;1;8,3;3,5;0;2;0,3;4,1;2,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00836024;1;1934-08-01;1;8,7;31,6;12;14;1;1;0;;0;0;0;0,2;3;5;0;0;0,6;0,4;0;0;8,7;1;0,3;0;0;0;0;2;3,3;0;2;0;0;0;0;1,5;0,6;0;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00836024;1;1934-09-01;1;10,7;14,4;23;5;1;1;0;;0;0;0;1;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,7;0;0;0;0;0;2;0,3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00836024;1;1934-11-01;1;4,3;6,4;2;3;1;1;0;;0;0;4,3;0;0;0,1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00836024;1;1934-12-01;1;2,2;2,6;16;2;1;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,2;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
