// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2013 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//	Código da Estação:00834016
//


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
00834016;1;1987-01-01;1;22,8;58,5;9;11;1;1;0;;0;0;1;0;0;21;1,2;1,8;0;22,8;0;0;1,2;0;0;0;4;2,6;0;0;0;0,5;0;0;0;0;0;0;0;0;0,4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00834016;1;1987-02-01;1;;;;;0;0;0;;0;0;0;0,8;0;1,4;1,4;0;0,2;0,2;0;45,8;1,2;;0;0;6;6,1;1;5,2;0;0;0;28,9;0;0;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00834016;1;1987-03-01;1;85,4;438,2;30;26;1;1;0;;0;2;0;1;36,8;1,3;1,2;0,8;0;0,6;4,5;2;0;0,3;0;35,4;48;28,4;1;3,2;8,6;8,4;19,3;5,4;80,4;30,8;0;1;26,6;1,2;85,4;4,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00834016;1;1987-04-01;1;73,2;308,4;10;23;1;1;0;;0;61,4;20,6;5;10,8;3,8;1,1;9,4;1,2;7,6;73,2;38;0;0,4;1,6;0,4;4,6;1;0;0;0;3,1;12,6;4,6;0;9,9;30,4;7,3;0;0,4;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00834016;1;1987-05-01;1;24;88,9;11;16;1;1;0;;0;0;0;0,5;0;6,6;0;6,4;0,6;0;2;24;22;0;0;4,7;5;0,2;0,3;0;0;0;0;0;0,2;0;0;0,6;2,6;12,4;0,8;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00834016;1;1987-06-01;1;74;411,8;1;26;1;1;0;;0;74;0;0;18,2;0,8;9,4;26,6;30,8;13,4;4,2;4;11,4;38,6;15;1,4;1,2;14,4;16,6;9;7,4;0;2;37,8;0,2;3,4;0;3,2;17;50,4;1,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00834016;1;1987-07-01;1;75;334,3;18;26;1;1;0;;0;21;12;13;2;16,6;0;11,2;9,6;14,8;0,1;38;7,2;9;2,8;7,8;10,6;3,2;75;14,8;23;12,4;0;0;3;4,8;1,2;0;12;8,6;0,6;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00834016;1;1987-08-01;1;23,4;85,2;17;17;1;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;1,8;0,6;2,8;1,4;1,6;23,4;0,1;0;0;0;1,2;10,8;10,8;3;2,7;14,6;3,2;1;0,4;5,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00834016;1;1987-09-01;1;17;48,4;1;10;1;1;0;;0;17;4,2;3;0;0;5,6;0;0;0;0;0;6;0;1,8;0,8;0;0;0;0;0;0;0;0;0,8;0;0;0,8;0;0;8,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00834016;1;1987-10-01;1;72;104,5;6;8;1;1;0;;0;7,2;0;0;0;0;72;11,6;0;0;5,4;5,2;0;2,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,4;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00834016;1;1987-11-01;1;4,2;7,8;14;3;1;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,2;0;0;0;0;0,4;0;0;0;0;0;0;0;3,2;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00834016;1;1987-12-01;1;2;2;18;1;1;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00834016;1;1988-01-01;1;4;16,6;9;6;1;1;0;;0;0;0;0;0;0;0;0;0;4;3,2;0;3,2;0;0;0;2;0;0;0;0;0;0;0;0;0;3,6;0;0,6;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00834016;1;1988-02-01;1;19,8;61,8;25;9;1;1;0;;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0,8;14,2;0;7,4;4,6;0;0;0;0;0;4,2;19,8;4,2;0;3,6;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
00834016;1;1988-04-01;1;90,8;401;22;22;1;1;0;;0;14;2,8;0;0;0;14,2;0;25,2;11,4;1,6;1,8;1,4;6,8;9,4;6,6;0,6;0,6;5,2;6,8;24,4;0;90,8;0;10,2;20,8;0;3,6;0;62;80,8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00834016;1;1988-05-01;1;43,4;159,7;22;18;1;1;0;;0;13,2;13,6;42;5,4;3,4;4;4,1;1,2;0;0;0;0;0;0,8;0;1,4;4,6;6,6;1,6;7,4;3,6;43,4;2;0;0;0;0;0;0;0;1,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00834016;1;1988-07-01;1;64,4;423,9;8;27;1;1;0;;0;0,4;0,2;23,4;0,6;9,3;14;8,2;64,4;23,9;6,2;0;0;63,2;30,4;45,6;16,4;4,2;10;0,2;0;0;6;1,3;23,2;25,4;0,4;0,3;4,1;17;2,3;23,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00834016;1;1988-08-01;1;42;129,3;10;23;1;1;0;;0;0;0;6;4,2;2,6;1,7;9,6;5,1;1,4;42;0;0;6,1;2,9;0,7;22,6;4;0,2;4,6;0;0;0;0,3;0;1,5;0,8;1,9;3,1;3,8;1;3,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00834016;1;1988-09-01;1;10,3;36,7;9;11;1;1;0;;0;5,3;1;0;0;2,8;0,9;0;2,3;10,3;7,4;1,6;0;0;2,3;0;0;0;0;0;2,3;0;0;0;0;0,5;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00834016;1;1988-11-01;1;8,3;22,6;14;9;1;1;0;;0;0;0,5;0;0;0;0;2,7;3,2;2;0,2;0;2,2;3,3;8,3;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
