FID,Bacia,Rio,Unidade da Federação,Município,Responsável,Operadora,Tipo,Código,Estação,Latitude,Longitude,Área de Drenagem (km²),Réguas Linimétricas,Registrador de Nível,Medição de Descarga Líquida,Medição de Sedimentos,Medição de Qualidade da Água,Estação Telemétrica,Operando,Início (Réguas),Início (Registrador de Nível),Início (Descarga Líquida),Início (Sedimentos),Início (Qualidade da Água),Pluviômetro,Registrador de Chuva,Tanque Evaporimétrico,Estação Climatológica,Início (Pluviômetro),Início (Registrador Chuva),Início (Tanque Evaporimétrico),Início (Climatológica),Início (Telemetria),x,y
4762,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,TACAIMBÓ,CEMADEN,CEMADEN,Pluviométrica,836110,TACAIMBÓ_Centro,-8.32166666667,-36.2908333333,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-4039877.087130226,-929637.886905095
4763,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,TACAIMBÓ,EMATER,EMATER,Pluviométrica,836089,TACAIMBO,-8.31666666667,-36.3,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,nov-79,-,-,-,00:00:00,-4040897.515795831,-929075.3703385851
4765,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,TAQUARITINGA DO NORTE,ANA,CPRM,Pluviométrica,736042,TAQUARITINGA DO NORTE,-7.90388888889,-36.0469444444,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,mar-86,-,-,-,00:00:00,-4012727.500208977,-882660.833727371
4766,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,TAQUARITINGA DO NORTE,DNOCS,DNOCS,Pluviométrica,736031,TAQUARITINGA DO NORTE,-7.9,-36.05,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,jul-11,-,-,-,00:00:00,-4013067.643097512,-882223.7746321363
4767,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,TAQUARITINGA DO NORTE,EMATER,EMATER,Pluviométrica,736039,TAQUARITINGA DO NORTE,-7.9,-36.05,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,jun-79,-,-,-,00:00:00,-4013067.643097512,-882223.7746321363
4768,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,TEREZINHA,EMATER,EMATER,Pluviométrica,936109,TEREZINHA,-9.05,-36.6333333333,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,ago-79,-,-,-,00:00:00,-4078004.012726922,-1011656.8080352809
4773,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,TIMBAÚBA,ANA,CPRM,Pluviométrica,735170,TIMBAÚBA,-7.51277777778,-35.3269444444,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,01/05/2012,-3932577.4668378215,-838725.4430734447
4774,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,TIMBAÚBA,EMATER,EMATER,Pluviométrica,735154,TIMBAÚBA,-7.51666666667,-35.3166666667,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,out-79,-,-,-,00:00:00,-3931433.349849113,-839162.1025460566
4775,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,TIMBAÚBA,DNOCS,DNOCS,Pluviométrica,735074,TIMBAÚBA,-7.51666666667,-35.3166666667,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,out-10,-,-,-,00:00:00,-3931433.349849113,-839162.1025460566
4777,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,TORITAMA,ANA,CPRM,Pluviométrica,836098,TORITAMA,-8.01277777778,-36.0577777778,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,01/05/2011,-4013933.4613592373,-894900.1681151754
4778,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,TORITAMA,EMATER,EMATER,Pluviométrica,836090,TORITAMA,-8.01666666667,-36.0666666667,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,ago-79,-,-,-,00:00:00,-4014922.9679440665,-895337.3474939038
4789,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,VENTUROSA,EMATER,EMATER,Pluviométrica,836091,VENTUROSA,-8.58333333333,-36.8833333333,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,fev-79,-,-,-,00:00:00,-4105833.8854252403,-959086.3811421788
4792,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,VICÊNCIA,CEMADEN,CEMADEN,Pluviométrica,735226,VICÊNCIA_vicência01,-7.65611111111,-35.3188888889,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3931680.7264953195,-854822.0637842484
4793,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,VICÊNCIA,EMATER,EMATER,Pluviométrica,735156,VICÊNCIA,-7.65,-35.3166666667,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,set-79,-,-,-,00:00:00,-3931433.3498491123,-854135.6640014685
4794,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,VICÊNCIA,ANA,CPRM,Pluviométrica,735171,VICÊNCIA,-7.65055555556,-35.3205555556,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,01/05/2012,-3931866.2589799743,-854198.0635752636
4801,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,VITÓRIA DE SANTO ANTÃO,CEMADEN,CEMADEN,Pluviométrica,835204,VITÓRIA DE SANTO ANTÃO_Bairro C,-8.12111111111,-35.325,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3932361.012272389,-907080.3066011327
4802,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,VITÓRIA DE SANTO ANTÃO,CEMADEN,CEMADEN,Pluviométrica,835205,VITÓRIA DE SANTO ANTÃO_Cajá,-8.11111111111,-35.2838888889,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3927784.5443175538,-905955.8491237443
4803,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,VITÓRIA DE SANTO ANTÃO,EMATER,EMATER,Pluviométrica,835133,VITÓRIA DE SANTO ANTÃO,-8.13333333333,-35.3166666667,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,out-79,-,-,-,00:00:00,-3931433.3498491123,-908454.6815534558
4804,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,VITÓRIA DE SANTO ANTÃO,ANA,CPRM,Pluviométrica,835068,VITÓRIA DE SANTO ANTÃO,-8.11361111111,-35.2838888889,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,mai-20,-,-,-,01/03/2011,-3927784.544317554,-906236.9608695415
4809,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,VITÓRIA DE SANTO ANTÃO,CEMADEN,CEMADEN,Pluviométrica,835206,VITÓRIA DE SANTO ANTÃO_Livramento,-8.12111111111,-35.2980555556,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3929361.570437125,-907080.3066011318
4816,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,JABOATÃO DOS GUARARAPES,APAC-PE,APAC-PE,Pluviométrica,834025,CORPO DE BOMBEIRO BOA VIAGEM,-8.15888888889,-34.9111111111,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,01/07/2013,-3886287.111916284,-911328.5101086475
4817,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,JABOATÃO DOS GUARARAPES,APAC-PE,APAC-PE,Pluviométrica,834024,BPM - BATALHÃO DA PM HENRIQUE DIAS,-8.15444444444,-34.9208333333,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,01/07/2013,-3887369.384743442,-910828.7006534135
4818,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,JABOATÃO DOS GUARARAPES,CEMADEN,CEMADEN,Pluviométrica,834032,JABOATÃO DOS GUARARAPES_Muribeca,-8.15694444444,-34.9680555556,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3892626.138475346,-911109.8427882072
4819,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,JABOATÃO DOS GUARARAPES,CEMADEN,CEMADEN,Pluviométrica,834033,JABOATÃO DOS GUARARAPES_Cavaleiro2,-8.09,-34.97,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3892842.593040776,-903582.0862569751
4820,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,JABOATÃO DOS GUARARAPES,CEMADEN,CEMADEN,Pluviométrica,834034,JABOATÃO DOS GUARARAPES_Cavaleiro,-8.09611111111,-34.9711111111,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3892966.281363881,-904269.2153396852
4821,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,JABOATÃO DOS GUARARAPES,CEMADEN,CEMADEN,Pluviométrica,834035,JABOATÃO DOS GUARARAPES_Prazeres,-8.18805555556,-34.9530555556,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3890956.3461134466,-914608.6477344639
4822,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,JABOATÃO DOS GUARARAPES,CEMADEN,CEMADEN,Pluviométrica,834036,JABOATÃO DOS GUARARAPES_Piedade,-8.15388888889,-34.9138888889,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3886596.3327240436,-910766.2248621873
4823,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,JABOATÃO DOS GUARARAPES,CEMADEN,CEMADEN,Pluviométrica,834037,JABOATÃO DOS GUARARAPES_CuradoII,-8.08,-34.9969444444,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3895842.0348760406,-902457.7156793459
4825,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,JABOATÃO DOS GUARARAPES,CEMADEN,CEMADEN,Pluviométrica,835184,JABOATÃO DOS GUARARAPES_Centro,-8.11194444444,-35.015,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3897851.9701264743,-906049.5528447488
4826,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,JABOATÃO DOS GUARARAPES,CEMADEN,CEMADEN,Pluviométrica,834038,JABOATÃO DOS GUARARAPES_Barra de Jangada,-8.22,-34.9319444444,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3888606.2679744763,-918201.455136993
4827,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,JABOATÃO DOS GUARARAPES,CEMADEN,CEMADEN,Pluviométrica,834039,JABOATÃO DOS GUARARAPES_Cajueiro Seco,-8.16805555556,-34.9280555556,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3888173.3588436143,-912359.3846685243
4829,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,LAJEDO,CEMADEN,CEMADEN,Pluviométrica,836104,LAJEDO_Centro,-8.66027777778,-36.3222222222,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-4043371.282257904,-967749.6988831246
4830,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,LAJEDO,EMATER,EMATER,Pluviométrica,836078,LAJEDO,-8.65,-36.3333333333,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,mar-79,-,-,-,00:00:00,-4044608.1654889407,-966592.4026228287
