,835030,836009,834016,638013,638012,638004
1962-06-22,,,,,0.0,0.0
1962-06-23,,,,,0.6,0.1
1962-06-24,,,,,0.4,0.9
1962-06-25,,,,,0.0,0.0
1962-06-26,,,,,0.0,0.0
1962-06-27,,,,,0.0,0.0
1962-06-28,,,,,0.0,0.0
1962-06-29,,,,,0.0,0.2
1962-07-01,,,,,7.2,0.5
1962-07-02,,,,,9.8,1.2
1962-07-03,,,,,0.0,0.0
1962-07-04,,,,,0.0,0.0
1962-07-05,,,,,0.0,0.0
1962-07-06,,,,,0.0,0.0
1962-07-07,,,,,3.1,0.0
1962-07-08,,,,,0.2,0.0
1962-07-09,,,,,0.0,0.0
1962-07-10,,,,,0.0,0.0
1962-07-11,,,,,0.0,0.0
1962-07-12,,,,,0.0,0.0
1962-07-13,,,,,0.0,0.0
1962-07-14,,,,,0.0,0.0
1962-07-15,,,,,0.0,0.0
1962-07-16,,,,,0.0,0.0
1962-07-17,,,,,0.0,0.0
1962-07-18,,,,,0.0,0.0
1962-07-19,,,,,0.0,0.0
1962-07-20,,,,,0.0,0.0
1962-07-21,,,,,0.0,0.0
1962-07-22,,,,,0.0,0.0
1962-07-23,,,,,0.0,0.0
1962-07-24,,,,,0.0,0.0
1962-07-25,,,,,0.0,0.0
1962-07-26,,,,,0.0,0.0
1962-07-27,,,,,0.0,0.0
1962-07-28,,,,,0.0,0.0
1962-07-29,,,,,0.0,0.0
1962-07-30,,,,,0.0,0.0
1962-08-01,,,,,0.0,0.0
1962-08-02,,,,,0.0,0.0
1962-08-03,,,,,0.0,0.0
1962-08-04,,,,,0.0,0.0
1962-08-05,,,,,0.0,0.0
1962-08-06,,,,,0.0,0.0
1962-08-07,,,,,0.0,0.0
1962-08-08,,,,,0.0,0.0
1962-08-09,,,,,0.0,0.0
1962-08-10,,,,,0.0,0.0
1962-08-11,,,,,0.0,0.0
1962-08-12,,,,,0.0,0.0
1962-08-13,,,,,0.0,0.0
1962-08-14,,,,,0.0,0.0
1962-08-15,,,,,0.0,0.0
1962-08-16,,,,,0.0,0.0
1962-08-17,,,,,0.0,0.0
1962-08-18,,,,,0.0,0.0
1962-08-19,,,,,0.0,0.0
1962-08-20,,,,,0.0,0.3
1962-08-21,,,,,0.0,0.0
1962-08-22,,,,,0.0,0.0
1962-08-23,,,,,0.0,0.0
1962-08-24,,,,,0.0,0.0
1962-08-25,,,,,0.0,0.0
1962-08-26,,,,,0.0,0.0
1962-08-27,,,,,0.0,0.0
1962-08-28,,,,,0.0,0.0
1962-08-29,,,,,0.0,0.0
1962-08-30,,,,,0.0,0.0
1962-09-01,,,,,0.0,0.0
1962-09-02,,,,,0.0,0.0
1962-09-03,,,,,0.0,0.0
1962-09-04,,,,,0.0,0.0
1962-09-05,,,,,0.0,0.0
1962-09-06,,,,,0.0,0.0
1962-09-07,,,,,0.0,0.0
1962-09-08,,,,,0.0,0.0
1962-09-09,,,,,0.0,0.0
1962-09-10,,,,,0.0,0.0
1962-09-11,,,,,0.0,0.0
1962-09-12,,,,,0.0,0.0
1962-09-13,,,,,0.0,0.0
1962-09-14,,,,,0.0,0.0
1962-09-15,,,,,0.0,0.0
1962-09-16,,,,,0.0,0.0
1962-09-17,,,,,0.0,0.0
1962-09-18,,,,,0.0,0.4
1962-09-19,,,,,0.0,0.0
1962-09-20,,,,,0.0,0.0
1962-09-21,,,,,0.0,0.0
1962-09-22,,,,,0.0,0.0
1962-09-23,,,,,0.0,0.0
1962-09-24,,,,,0.0,0.0
1962-09-25,,,,,0.0,0.0
1962-09-26,,,,,0.0,0.0
1962-09-27,,,,,0.0,0.0
1962-09-28,,,,,0.0,0.0
1962-09-29,,,,,0.0,0.0
1962-10-01,,,,,0.0,0.0
1962-10-02,,,,,0.0,0.0
1962-10-03,,,,,0.0,0.0
1962-10-04,,,,,0.0,0.0
1962-10-05,,,,,0.0,0.0
1962-10-06,,,,,0.0,0.0
1962-10-07,,,,,3.1,0.0
1962-10-08,,,,,0.0,0.0
1962-10-09,,,,,0.0,0.0
